,Team,Player,Games,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share,Champions Played,Position
65,KTRolster,Smeb,42,29,13,69.0,2.26,1.43,4.4,4.67,341.36,9.39,14.93,411,64.4,21.8,22.6,15,Top
66,KTRolster,Ucal,42,29,13,69.0,2.71,1.64,4.14,4.17,344.29,9.5,14.84,409,66.8,26.5,22.5,14,Mid
67,Lgd,Yuuki (Hu Hao-Ming),42,21,21,50.0,3.98,2.79,5.31,3.33,283.38,8.93,13.0,410,69.8,29.9,23.1,10,Mid
68,Vici,Aodi,41,10,31,24.4,2.17,3.76,4.17,1.69,283.8,8.19,12.55,362,60.6,20.7,21.3,12,Top
69,SKT1,Bang,41,19,22,46.3,2.17,1.29,4.12,4.87,343.88,9.76,14.54,413,70.1,24.2,23.2,10,ADC
70,Lgd,Eimy,41,21,20,51.2,2.1,2.51,6.2,3.3,144.8,4.6,9.96,316,63.3,16.0,17.8,12,JG
71,Gen.G,Fly (Song Yong-jun),41,26,15,63.4,2.32,1.34,4.2,4.84,289.27,8.41,12.95,376,74.2,26.4,21.0,10,Mid
72,MVP,Ian,41,11,30,26.8,2.15,1.98,3.37,2.79,290.07,8.62,12.36,367,77.4,30.1,22.1,14,Mid
73,Griffin,Lehends,41,28,13,68.3,1.17,1.41,7.2,5.91,62.37,1.74,9.25,258,74.1,10.4,14.1,8,Supp
74,Griffin,Sword,41,28,13,68.3,2.46,1.63,4.56,4.3,320.51,8.95,14.31,399,62.2,21.8,21.8,14,Top
75,Griffin,Tarzan (Lee Seung-yong),41,28,13,68.3,1.85,1.34,6.88,6.51,180.68,5.04,11.66,325,77.3,16.4,17.8,12,JG
76,JAG,UmTi,41,14,27,34.1,1.34,2.17,4.07,2.49,184.9,5.02,11.19,304,74.2,18.4,17.9,12,JG
77,Griffin,Viper (Park Do-hyeon),41,28,13,68.3,2.54,1.12,5.34,7.02,369.49,10.31,15.5,433,69.8,22.5,23.6,15,ADC
78,MVP,Yondu,41,11,30,26.8,1.54,2.46,3.88,2.2,157.68,4.69,9.83,292,76.0,21.6,17.6,12,JG
